;;;;;;
;Punto d'inizio;;;Punto di fine;;
road_lcd;pnt_lcd_ini;lat_ini;lon_ini;pnt_lcd_fin;lat_fin;lon_fin
243;2692;44,97523;7,65804;2693;44,98189;7,64518
243;2693;44,98189;7,64518;2694;44,99342;7,62813
243;2694;44,99342;7,62813;2695;45,00821;7,61899
243;2695;45,00821;7,61899;2696;45,02228;7,59801
243;2696;45,02228;7,59801;2698;45,03898;7,56417
243;2698;45,03898;7,56417;2700;45,0658;7,54444
243;2700;45,0658;7,54444;2701;45,07159;7,54637
243;2701;45,07159;7,54637;2702;45,07807;7,54821
294;42183;45,36492;9,31966;3700;45,39227;9,28716
294;3700;45,39227;9,28716;3701;45,41032;9,26788
294;3701;45,41032;9,26788;3702;45,4235;9,25428
294;3702;45,4235;9,25428;3703;45,42768;9,24942
294;3703;45,42768;9,24942;3704;45,4306;9,24303
294;3704;45,4306;9,24303;3705;45,43983;9,22468
296;3713;45,07972;7,72932;3715;45,03713;7,78711
296;3715;45,03713;7,78711;3716;44,95387;7,91612
296;3716;44,95387;7,91612;3717;44,9426;7,93243
296;3717;44,9426;7,93243;3718;44,91674;8,03118
296;3718;44,91674;8,03118;3719;44,90316;8,09078
297;3819;45,11921;7,71155;3820;45,1243;7,7292
297;3820;45,1243;7,7292;3821;45,118;7,73469
297;3821;45,118;7,73469;3822;45,13225;7,78341
297;3822;45,13225;7,78341;3823;45,18482;7,85961
297;3823;45,18482;7,85961;3824;45,18991;7,8843
297;3824;45,18991;7,8843;3826;45,19093;7,89504
297;3826;45,19093;7,89504;3827;45,19666;7,92209
297;3827;45,19666;7,92209;3828;45,23684;7,95671
297;3828;45,23684;7,95671;3829;45,25304;7,96127
297;3829;45,25304;7,96127;3832;45,30944;8,02476
297;3832;45,30944;8,02476;3833;45,31975;8,0695
297;3858;45,48679;9,01342;3859;45,49096;9,04784
297;3859;45,49096;9,04784;3861;45,48854;9,0669
297;3861;45,48854;9,0669;3862;45,46698;9,14563
297;3862;45,46698;9,14563;3863;45,51342;9,26475
297;3863;45,51342;9,26475;3864;45,51168;9,28374
297;3864;45,51168;9,28374;3865;45,51413;9,31991
332;4784;45,00241;7,67064;4785;44,9751;7,67008
332;4785;44,9751;7,67008;4786;44,96773;7,66952
332;4786;44,96773;7,66952;4787;44,89638;7,66987
332;4787;44,89638;7,66987;4788;44,85838;7,72323
332;4788;44,85838;7,72323;4789;44,85111;7,72471
332;4789;44,85111;7,72471;4790;44,77102;7,67992
335;4841;45,03267;7,64646;4842;45,02327;7,63564
335;4842;45,02327;7,63564;4843;45,00978;7,6208
335;4843;45,00978;7,6208;4844;45,00108;7,6111
335;4844;45,00108;7,6111;4845;44,96597;7,57189
335;4845;44,96597;7,57189;4846;44,93383;7,53217
335;4846;44,93383;7,53217;4847;44,91779;7,49212
335;4847;44,91779;7,49212;4848;44,90511;7,43591
335;4848;44,90511;7,43591;4849;44,8958;7,4018
335;4849;44,8958;7,4018;4850;44,88894;7,38445
335;4850;44,88894;7,38445;4851;44,88036;7,35792
335;4851;44,88036;7,35792;4852;44,87923;7,31386
335;4852;44,87923;7,31386;4853;44,88709;7,26776
336;4868;45,09169;7,65444;4869;45,09606;7,57862
336;4869;45,09606;7,57862;4870;45,10283;7,54919
336;4870;45,10283;7,54919;4871;45,10012;7,52341
336;4871;45,10012;7,52341;4872;45,09445;7,42901
336;4872;45,09445;7,42901;4873;45,09492;7,41833
336;4873;45,09492;7,41833;4874;45,11486;7,30087
337;4888;45,07458;7,61973;4889;45,07287;7,57684
337;4889;45,07287;7,57684;4890;45,07085;7,52928
337;4890;45,07085;7,52928;4891;45,07554;7,51988
337;4891;45,07554;7,51988;4892;45,08113;7,50567
337;4892;45,08113;7,50567;4893;45,08297;7,41596
337;4893;45,08297;7,41596;4894;45,08406;7,40697
337;4894;45,08406;7,40697;4895;45,08605;7,40034
337;4895;45,08605;7,40034;4896;45,09615;7,36785
337;4896;45,09615;7,36785;4897;45,10577;7,3272
337;4897;45,10577;7,3272;4898;45,10792;7,26878
338;4906;45,1914;7,89377;4907;45,20734;7,8901
338;4907;45,20734;7,8901;4908;45,28605;7,89246
338;4908;45,28605;7,89246;4909;45,29593;7,89048
338;4909;45,29593;7,89048;4910;45,31498;7,8803
338;4910;45,31498;7,8803;4911;45,38403;7,8855
338;4911;45,38403;7,8855;4912;45,45706;7,88611
344;5017;44,99822;7,68044;5020;45,00073;7,69194
344;5020;45,00073;7,69194;5021;44,98441;7,73745
344;5021;44,98441;7,73745;5022;44,96151;7,77975
344;5022;44,96151;7,77975;5023;44,95673;7,78745
344;5023;44,95673;7,78745;5024;44,9242;7,83818
344;5024;44,9242;7,83818;5026;44,86383;7,89662
344;5026;44,86383;7,89662;5027;44,81538;7,94702
345;5054;44,92429;7,83847;5055;44,92015;7,84457
345;5055;44,92015;7,84457;5056;44,94242;7,93221
348;5082;45,19672;7,92319;5083;45,19671;7,94028
348;5083;45,19671;7,94028;5084;45,18382;7,96679
